dataset,component_id,component_split,left_index,right_index,positive_atoms,total_atoms,valid_normalized_ap_prevalence
CHEMBL214_Ki,36,calibration,432,553,26,85,True
CHEMBL214_Ki,40,test,449,452,18,40,True
CHEMBL214_Ki,38,test,450,684,40,48,True
CHEMBL214_Ki,41,calibration,454,492,12,57,True
CHEMBL214_Ki,43,calibration,477,2652,23,51,True
CHEMBL214_Ki,44,test,518,546,12,68,True
CHEMBL214_Ki,45,test,521,555,15,70,True
CHEMBL214_Ki,46,calibration,528,537,4,63,True
CHEMBL214_Ki,48,test,565,579,4,51,True
CHEMBL214_Ki,47,test,570,2204,56,57,True
CHEMBL214_Ki,49,test,589,2203,37,55,True
CHEMBL214_Ki,50,test,595,605,14,72,True
CHEMBL214_Ki,51,test,598,601,14,72,True
CHEMBL214_Ki,54,test,651,661,22,62,True
CHEMBL214_Ki,56,test,666,2371,22,62,True
CHEMBL214_Ki,57,calibration,669,1606,24,56,True
CHEMBL214_Ki,60,calibration,725,752,16,64,True
CHEMBL214_Ki,61,test,732,866,8,58,True
CHEMBL214_Ki,62,test,734,973,15,36,True
CHEMBL214_Ki,63,calibration,741,745,17,63,True
CHEMBL214_Ki,67,test,786,800,4,63,True
CHEMBL214_Ki,71,calibration,815,2230,11,63,True
CHEMBL214_Ki,73,test,828,2483,24,46,True
CHEMBL214_Ki,74,test,832,834,13,54,True
CHEMBL214_Ki,76,test,849,854,17,62,True
CHEMBL214_Ki,77,calibration,860,861,3,63,True
CHEMBL214_Ki,80,test,880,882,3,63,True
CHEMBL214_Ki,81,test,884,1175,8,59,True
CHEMBL214_Ki,82,calibration,944,945,8,68,True
CHEMBL214_Ki,86,calibration,1013,1014,15,71,True
CHEMBL214_Ki,88,calibration,1084,1690,24,62,True
CHEMBL214_Ki,89,test,1091,1687,40,64,True
CHEMBL214_Ki,95,calibration,1139,1144,15,65,True
CHEMBL214_Ki,79,calibration,1184,1186,12,66,True
CHEMBL214_Ki,97,test,1196,1201,18,66,True
CHEMBL214_Ki,98,test,1210,1211,5,53,True
CHEMBL214_Ki,99,test,1218,1231,3,55,True
CHEMBL214_Ki,102,calibration,1276,1278,12,68,True
CHEMBL214_Ki,104,test,1291,2303,15,59,True
CHEMBL214_Ki,107,test,1311,1324,4,43,True
CHEMBL214_Ki,109,calibration,1341,1342,10,64,True
CHEMBL214_Ki,112,calibration,1372,2859,41,57,True
CHEMBL214_Ki,113,test,1377,1380,10,58,True
CHEMBL214_Ki,114,calibration,1384,1721,13,43,True
CHEMBL214_Ki,106,test,1386,1717,21,41,True
CHEMBL214_Ki,117,calibration,1408,1411,5,62,True
CHEMBL214_Ki,121,calibration,1449,1468,19,53,True
CHEMBL214_Ki,123,calibration,1458,1459,8,48,True
CHEMBL214_Ki,124,calibration,1471,2105,25,55,True
CHEMBL214_Ki,128,test,1505,1522,4,69,True
CHEMBL214_Ki,129,calibration,1537,1541,16,54,True
CHEMBL214_Ki,130,test,1585,1587,18,64,True
CHEMBL214_Ki,131,test,1597,1648,12,64,True
CHEMBL214_Ki,132,test,1616,1653,13,64,True
CHEMBL214_Ki,135,test,1735,1743,16,66,True
CHEMBL214_Ki,137,calibration,1786,1788,10,72,True
CHEMBL214_Ki,138,calibration,1796,1798,12,56,True
CHEMBL214_Ki,139,test,1799,1802,14,52,True
CHEMBL214_Ki,141,calibration,1846,1848,11,63,True
CHEMBL214_Ki,142,test,1860,1902,11,57,True
CHEMBL214_Ki,143,calibration,1863,1864,11,59,True
CHEMBL214_Ki,144,test,1876,1887,24,60,True
CHEMBL214_Ki,145,calibration,1894,1895,11,45,True
CHEMBL214_Ki,154,calibration,1972,1980,12,70,True
CHEMBL214_Ki,155,test,1984,1986,25,65,True
CHEMBL214_Ki,159,test,2032,2039,4,39,True
CHEMBL214_Ki,163,calibration,2071,2076,4,57,True
CHEMBL214_Ki,164,calibration,2073,2074,8,56,True
CHEMBL214_Ki,166,test,2086,2090,19,65,True
CHEMBL214_Ki,169,calibration,2108,2119,36,56,True
CHEMBL214_Ki,171,test,2155,2605,21,50,True
CHEMBL214_Ki,176,calibration,2291,2306,10,60,True
CHEMBL214_Ki,177,calibration,2294,2298,23,57,True
CHEMBL214_Ki,146,calibration,2431,2740,15,63,True
CHEMBL214_Ki,182,test,2484,2485,4,43,True
CHEMBL214_Ki,186,calibration,2565,2572,17,63,True
CHEMBL214_Ki,191,test,2610,2619,7,66,True
CHEMBL214_Ki,190,calibration,2613,2826,19,65,True
CHEMBL214_Ki,193,calibration,2627,2628,9,51,True
CHEMBL214_Ki,194,test,2639,2641,8,68,True
CHEMBL214_Ki,195,calibration,2654,2675,16,58,True
CHEMBL214_Ki,196,calibration,2667,2672,21,65,True
CHEMBL214_Ki,201,test,2828,2829,4,63,True
CHEMBL214_Ki,202,test,2837,2840,5,37,True
CHEMBL214_Ki,203,calibration,2842,2856,50,72,True
CHEMBL214_Ki,206,calibration,2871,2872,13,71,True
CHEMBL214_Ki,208,calibration,2900,2908,11,69,True
CHEMBL214_Ki,211,test,2960,2963,16,78,True
CHEMBL214_Ki,215,test,3004,3010,12,76,True
CHEMBL214_Ki,217,test,3025,3028,18,52,True
CHEMBL214_Ki,221,calibration,3091,3173,24,80,True
CHEMBL214_Ki,222,calibration,3132,3133,10,70,True
CHEMBL214_Ki,224,test,3141,3142,5,64,True
CHEMBL214_Ki,205,calibration,3203,3205,25,59,True
CHEMBL214_Ki,120,test,3221,3222,12,58,True
CHEMBL214_Ki,228,test,3270,3277,8,47,True
CHEMBL218_EC50,0,test,2,195,32,58,True
CHEMBL218_EC50,1,calibration,12,15,24,54,True
CHEMBL218_EC50,2,test,19,510,4,57,True
CHEMBL218_EC50,3,calibration,26,31,18,58,True
CHEMBL218_EC50,7,test,70,513,16,54,True
CHEMBL218_EC50,10,calibration,122,131,22,68,True
CHEMBL218_EC50,13,test,152,166,5,57,True
CHEMBL218_EC50,15,calibration,200,202,15,67,True
CHEMBL218_EC50,16,test,225,226,15,51,True
CHEMBL218_EC50,17,test,254,255,4,57,True
CHEMBL218_EC50,20,test,266,278,13,57,True
CHEMBL218_EC50,21,calibration,274,276,8,56,True
CHEMBL218_EC50,26,test,314,392,13,65,True
CHEMBL218_EC50,28,calibration,326,391,14,58,True
CHEMBL218_EC50,29,calibration,330,339,32,56,True
CHEMBL218_EC50,31,calibration,347,1020,4,53,True
CHEMBL218_EC50,32,test,355,357,17,69,True
CHEMBL218_EC50,33,calibration,358,363,12,62,True
CHEMBL218_EC50,34,test,365,369,11,59,True
CHEMBL218_EC50,35,test,379,383,12,66,True
CHEMBL218_EC50,37,test,399,405,26,74,True
CHEMBL218_EC50,39,test,451,453,29,63,True
CHEMBL218_EC50,42,calibration,481,488,10,62,True
CHEMBL218_EC50,43,test,492,494,28,56,True
CHEMBL218_EC50,44,test,519,1026,33,53,True
CHEMBL218_EC50,45,calibration,523,549,20,50,True
CHEMBL218_EC50,51,test,630,649,30,71,True
CHEMBL218_EC50,52,test,676,690,29,67,True
CHEMBL218_EC50,57,test,696,723,24,64,True
CHEMBL218_EC50,54,calibration,700,782,21,81,True
CHEMBL218_EC50,60,test,719,769,20,84,True
CHEMBL218_EC50,53,calibration,752,755,15,80,True
CHEMBL218_EC50,63,test,828,875,26,58,True
CHEMBL218_EC50,68,calibration,943,1000,24,54,True
CHEMBL218_EC50,70,calibration,957,958,4,53,True
CHEMBL218_EC50,71,calibration,968,969,12,54,True
CHEMBL218_EC50,73,calibration,987,988,3,53,True
CHEMBL218_EC50,74,calibration,1011,1012,12,52,True
CHEMBL219_Ki,2,calibration,5,8,16,67,True
CHEMBL219_Ki,4,calibration,32,348,26,46,True
CHEMBL219_Ki,8,test,54,1441,22,54,True
CHEMBL219_Ki,9,test,70,100,50,50,False
CHEMBL219_Ki,16,calibration,102,594,18,50,True
CHEMBL219_Ki,18,calibration,122,178,15,52,True
CHEMBL219_Ki,20,calibration,129,145,8,44,True
CHEMBL219_Ki,24,test,155,156,11,55,True
CHEMBL219_Ki,25,calibration,159,229,21,39,True
CHEMBL219_Ki,26,test,194,202,10,48,True
CHEMBL219_Ki,31,test,264,927,29,42,True
CHEMBL219_Ki,0,calibration,277,1032,31,49,True
CHEMBL219_Ki,34,calibration,283,291,18,30,True
CHEMBL219_Ki,36,test,322,1371,35,47,True
CHEMBL219_Ki,39,calibration,334,363,13,59,True
CHEMBL219_Ki,40,calibration,357,1169,20,61,True
CHEMBL219_Ki,42,calibration,375,411,3,59,True
CHEMBL219_Ki,44,test,382,391,8,54,True
CHEMBL219_Ki,43,test,387,667,28,48,True
CHEMBL219_Ki,45,test,405,429,12,56,True
CHEMBL219_Ki,48,calibration,433,458,10,44,True
CHEMBL219_Ki,50,test,445,467,4,48,True
CHEMBL219_Ki,49,test,451,483,13,49,True
CHEMBL219_Ki,53,calibration,460,550,14,52,True
CHEMBL219_Ki,55,test,478,945,35,51,True
CHEMBL219_Ki,57,test,507,1309,18,66,True
CHEMBL219_Ki,60,test,557,564,3,31,True
CHEMBL219_Ki,56,test,582,619,19,65,True
CHEMBL219_Ki,62,calibration,584,698,43,49,True
CHEMBL219_Ki,63,calibration,640,651,28,60,True
CHEMBL219_Ki,67,test,720,722,13,47,True
CHEMBL219_Ki,59,test,773,820,21,53,True
CHEMBL219_Ki,72,calibration,778,814,28,54,True
CHEMBL219_Ki,73,calibration,832,843,13,61,True
CHEMBL219_Ki,75,test,880,910,16,53,True
CHEMBL219_Ki,13,calibration,936,1427,8,50,True
CHEMBL219_Ki,78,test,966,974,15,49,True
CHEMBL219_Ki,81,test,1019,1029,15,70,True
CHEMBL219_Ki,65,test,1096,1102,20,68,True
CHEMBL219_Ki,85,calibration,1117,1134,11,49,True
CHEMBL219_Ki,88,calibration,1160,1195,20,52,True
CHEMBL219_Ki,76,calibration,1235,1240,22,42,True
CHEMBL219_Ki,92,calibration,1237,1669,3,49,True
CHEMBL219_Ki,93,test,1243,1253,24,48,True
CHEMBL219_Ki,94,calibration,1245,1249,17,55,True
CHEMBL219_Ki,99,calibration,1397,1402,34,66,True
CHEMBL219_Ki,100,test,1403,1405,18,70,True
CHEMBL219_Ki,101,test,1415,1418,6,54,True
CHEMBL219_Ki,102,calibration,1424,1425,20,68,True
CHEMBL219_Ki,105,calibration,1463,1471,13,41,True
CHEMBL219_Ki,106,calibration,1482,1483,13,67,True
CHEMBL219_Ki,108,test,1497,1564,28,60,True
CHEMBL219_Ki,109,calibration,1502,1508,7,61,True
CHEMBL219_Ki,110,test,1526,1531,32,100,True
CHEMBL219_Ki,112,calibration,1552,1556,12,56,True
CHEMBL219_Ki,113,test,1554,1557,16,59,True
CHEMBL219_Ki,115,calibration,1594,1614,21,49,True
CHEMBL219_Ki,116,calibration,1641,1643,18,70,True
CHEMBL219_Ki,118,test,1700,1704,49,67,True
CHEMBL219_Ki,119,test,1722,1723,13,67,True
CHEMBL219_Ki,121,test,1727,1731,4,40,True
CHEMBL219_Ki,122,calibration,1728,1729,11,39,True
CHEMBL219_Ki,124,test,1742,1747,13,55,True
CHEMBL219_Ki,125,test,1752,1753,11,49,True
CHEMBL219_Ki,128,calibration,1776,1779,8,54,True
CHEMBL219_Ki,130,test,1800,1804,5,76,True
CHEMBL219_Ki,132,test,1853,1862,8,64,True
CHEMBL228_Ki,1,calibration,5,6,17,39,True
CHEMBL228_Ki,2,calibration,14,632,17,65,True
CHEMBL228_Ki,3,test,34,38,11,49,True
CHEMBL228_Ki,4,test,40,44,16,62,True
CHEMBL228_Ki,8,test,76,77,12,88,True
CHEMBL228_Ki,10,calibration,88,185,32,68,True
CHEMBL228_Ki,11,test,109,115,4,45,True
CHEMBL228_Ki,12,test,136,139,10,62,True
CHEMBL228_Ki,14,test,177,178,22,68,True
CHEMBL228_Ki,15,test,193,194,12,72,True
CHEMBL228_Ki,16,test,213,214,4,41,True
CHEMBL228_Ki,20,calibration,228,230,9,35,True
CHEMBL228_Ki,22,calibration,267,271,12,38,True
CHEMBL228_Ki,23,calibration,278,281,9,37,True
CHEMBL228_Ki,24,test,299,302,13,57,True
CHEMBL228_Ki,6,test,340,838,13,40,True
CHEMBL228_Ki,32,calibration,410,419,4,63,True
CHEMBL228_Ki,33,calibration,414,417,13,55,True
CHEMBL228_Ki,35,calibration,439,505,10,58,True
CHEMBL228_Ki,37,test,470,493,22,55,True
CHEMBL228_Ki,38,test,474,498,22,57,True
CHEMBL228_Ki,30,calibration,487,488,5,54,True
CHEMBL228_Ki,39,test,508,511,9,61,True
CHEMBL228_Ki,40,calibration,510,515,8,60,True
CHEMBL228_Ki,34,calibration,528,531,22,56,True
CHEMBL228_Ki,41,calibration,553,554,4,46,True
CHEMBL228_Ki,43,test,573,576,9,59,True
CHEMBL228_Ki,48,calibration,667,1454,3,27,True
CHEMBL228_Ki,49,test,676,1320,4,67,True
CHEMBL228_Ki,51,test,682,684,4,50,True
CHEMBL228_Ki,52,calibration,691,696,28,42,True
CHEMBL228_Ki,56,calibration,734,748,15,43,True
CHEMBL228_Ki,57,test,764,774,22,28,True
CHEMBL228_Ki,64,calibration,849,866,10,42,True
CHEMBL228_Ki,65,calibration,850,879,11,41,True
CHEMBL228_Ki,67,calibration,856,871,16,42,True
CHEMBL228_Ki,69,test,894,895,22,66,True
CHEMBL228_Ki,71,test,914,923,11,109,True
CHEMBL228_Ki,73,calibration,938,949,19,64,True
CHEMBL228_Ki,72,calibration,947,950,11,67,True
CHEMBL228_Ki,78,test,993,1101,14,36,True
CHEMBL228_Ki,79,test,1015,1016,8,40,True
CHEMBL228_Ki,84,calibration,1083,1090,8,36,True
CHEMBL228_Ki,86,calibration,1108,1137,14,46,True
CHEMBL228_Ki,88,test,1165,1195,13,64,True
CHEMBL228_Ki,89,calibration,1171,1197,15,65,True
CHEMBL228_Ki,93,test,1335,1339,4,51,True
CHEMBL228_Ki,94,test,1336,1340,4,51,True
CHEMBL228_Ki,95,test,1337,1341,4,51,True
CHEMBL228_Ki,98,calibration,1353,1360,11,55,True
CHEMBL228_Ki,102,calibration,1422,1426,16,30,True
CHEMBL228_Ki,103,test,1437,1443,7,33,True
CHEMBL228_Ki,104,calibration,1439,1440,11,39,True
CHEMBL228_Ki,107,test,1474,1475,23,41,True
CHEMBL228_Ki,108,test,1479,1480,12,50,True
CHEMBL228_Ki,110,test,1496,1502,14,52,True
CHEMBL228_Ki,109,test,1497,1499,14,40,True
CHEMBL228_Ki,112,test,1564,1575,27,65,True
CHEMBL228_Ki,115,calibration,1593,1595,12,54,True
CHEMBL228_Ki,116,calibration,1607,1609,13,62,True
CHEMBL228_Ki,118,calibration,1661,1662,4,63,True
CHEMBL231_Ki,0,test,10,18,16,62,True
CHEMBL231_Ki,1,test,35,45,14,59,True
CHEMBL231_Ki,4,calibration,81,357,45,49,True
CHEMBL231_Ki,5,test,86,558,13,49,True
CHEMBL231_Ki,8,test,97,164,28,56,True
CHEMBL231_Ki,10,calibration,154,182,12,62,True
CHEMBL231_Ki,12,calibration,184,190,9,73,True
CHEMBL231_Ki,17,calibration,253,254,15,71,True
CHEMBL231_Ki,18,test,301,377,16,44,True
CHEMBL231_Ki,24,test,341,347,12,36,True
CHEMBL231_Ki,27,test,362,917,36,42,True
CHEMBL231_Ki,29,test,392,397,21,45,True
CHEMBL231_Ki,31,calibration,455,463,13,55,True
CHEMBL231_Ki,32,test,488,490,12,48,True
CHEMBL231_Ki,34,calibration,501,532,5,56,True
CHEMBL231_Ki,35,calibration,509,531,15,52,True
CHEMBL231_Ki,36,calibration,515,528,11,49,True
CHEMBL231_Ki,37,test,567,570,16,74,True
CHEMBL231_Ki,42,calibration,679,683,26,65,True
CHEMBL231_Ki,44,calibration,697,727,13,65,True
CHEMBL231_Ki,43,test,703,706,14,69,True
