dataset,component_id,component_split,positive_atoms,total_atoms,valid_normalized_ap_prevalence
CHEMBL2034_Ki,36,test,21,69,True
CHEMBL2034_Ki,38,test,19,77,True
CHEMBL2034_Ki,40,calibration,23,55,True
CHEMBL2034_Ki,41,test,11,48,True
CHEMBL2034_Ki,42,calibration,8,42,True
CHEMBL2034_Ki,44,calibration,25,83,True
CHEMBL2034_Ki,46,test,28,56,True
CHEMBL2034_Ki,47,calibration,16,64,True
CHEMBL2047_EC50,2,test,20,64,True
CHEMBL2047_EC50,5,test,12,67,True
CHEMBL2047_EC50,6,calibration,19,73,True
CHEMBL2047_EC50,3,test,13,69,True
CHEMBL2047_EC50,8,test,6,78,True
CHEMBL2047_EC50,0,test,12,64,True
CHEMBL2047_EC50,12,calibration,10,64,True
CHEMBL2047_EC50,13,test,22,76,True
CHEMBL2047_EC50,14,calibration,17,77,True
CHEMBL2047_EC50,16,calibration,9,77,True
CHEMBL2047_EC50,17,test,18,62,True
CHEMBL2047_EC50,18,calibration,10,66,True
CHEMBL2047_EC50,19,test,18,64,True
CHEMBL2047_EC50,20,calibration,4,67,True
CHEMBL2047_EC50,22,calibration,5,81,True
CHEMBL2047_EC50,23,calibration,8,48,True
CHEMBL2047_EC50,30,test,18,70,True
CHEMBL2047_EC50,31,test,18,60,True
CHEMBL204_Ki,0,test,9,74,True
CHEMBL204_Ki,11,calibration,28,95,True
CHEMBL204_Ki,17,test,14,69,True
CHEMBL204_Ki,21,calibration,16,76,True
CHEMBL204_Ki,23,test,13,65,True
CHEMBL204_Ki,20,test,12,64,True
CHEMBL204_Ki,9,calibration,15,72,True
CHEMBL204_Ki,32,test,4,53,True
CHEMBL204_Ki,31,test,28,72,True
CHEMBL204_Ki,34,test,14,88,True
CHEMBL204_Ki,35,test,24,40,True
CHEMBL204_Ki,33,test,20,45,True
CHEMBL204_Ki,38,test,23,38,True
CHEMBL204_Ki,43,test,10,66,True
CHEMBL204_Ki,48,calibration,13,69,True
CHEMBL204_Ki,49,calibration,11,68,True
CHEMBL204_Ki,47,calibration,14,77,True
CHEMBL204_Ki,53,calibration,21,73,True
CHEMBL204_Ki,54,calibration,4,71,True
CHEMBL204_Ki,51,test,20,80,True
CHEMBL204_Ki,52,test,10,76,True
CHEMBL204_Ki,58,calibration,6,106,True
CHEMBL204_Ki,56,test,3,61,True
CHEMBL204_Ki,63,calibration,40,64,True
CHEMBL204_Ki,65,calibration,28,44,True
CHEMBL204_Ki,67,test,5,66,True
CHEMBL204_Ki,70,test,8,64,True
CHEMBL204_Ki,73,test,19,67,True
CHEMBL204_Ki,74,calibration,11,71,True
CHEMBL204_Ki,68,calibration,24,56,True
CHEMBL204_Ki,79,calibration,29,64,True
CHEMBL204_Ki,81,test,19,68,True
CHEMBL204_Ki,82,test,19,79,True
CHEMBL204_Ki,84,test,4,61,True
CHEMBL204_Ki,4,test,12,52,True
CHEMBL204_Ki,90,calibration,29,53,True
CHEMBL204_Ki,88,calibration,17,81,True
CHEMBL204_Ki,55,test,3,71,True
CHEMBL204_Ki,91,calibration,20,82,True
CHEMBL204_Ki,92,calibration,16,65,True
CHEMBL204_Ki,96,calibration,21,77,True
CHEMBL204_Ki,16,test,12,76,True
CHEMBL204_Ki,95,calibration,20,76,True
CHEMBL204_Ki,93,test,12,78,True
CHEMBL204_Ki,98,test,16,78,True
CHEMBL204_Ki,100,calibration,37,66,True
CHEMBL204_Ki,102,calibration,16,58,True
CHEMBL204_Ki,103,calibration,14,98,True
CHEMBL204_Ki,104,test,17,91,True
CHEMBL204_Ki,83,test,20,65,True
CHEMBL204_Ki,41,test,4,41,True
CHEMBL204_Ki,108,test,13,66,True
CHEMBL204_Ki,106,test,19,65,True
CHEMBL204_Ki,109,calibration,12,60,True
CHEMBL204_Ki,39,test,23,67,True
CHEMBL204_Ki,110,test,10,62,True
CHEMBL204_Ki,114,calibration,22,70,True
CHEMBL204_Ki,115,calibration,4,65,True
CHEMBL204_Ki,116,test,17,68,True
CHEMBL204_Ki,117,test,7,49,True
CHEMBL204_Ki,123,calibration,4,53,True
CHEMBL204_Ki,121,calibration,3,75,True
CHEMBL204_Ki,124,test,8,62,True
CHEMBL204_Ki,24,test,13,64,True
CHEMBL204_Ki,133,test,11,71,True
CHEMBL204_Ki,134,test,6,52,True
CHEMBL204_Ki,135,calibration,5,71,True
CHEMBL204_Ki,66,test,12,63,True
CHEMBL204_Ki,141,calibration,20,62,True
CHEMBL204_Ki,144,test,14,80,True
CHEMBL204_Ki,145,calibration,6,90,True
CHEMBL204_Ki,146,calibration,10,60,True
CHEMBL204_Ki,147,test,13,81,True
CHEMBL204_Ki,150,calibration,14,70,True
CHEMBL204_Ki,151,calibration,13,71,True
CHEMBL204_Ki,152,calibration,10,82,True
CHEMBL204_Ki,153,calibration,19,69,True
CHEMBL204_Ki,154,calibration,8,56,True
CHEMBL204_Ki,156,test,14,68,True
CHEMBL204_Ki,155,test,41,60,True
CHEMBL204_Ki,159,calibration,6,79,True
CHEMBL204_Ki,142,test,11,71,True
CHEMBL204_Ki,164,calibration,5,62,True
CHEMBL204_Ki,166,calibration,8,64,True
CHEMBL204_Ki,168,calibration,4,79,True
CHEMBL204_Ki,172,test,17,73,True
CHEMBL204_Ki,173,calibration,12,76,True
CHEMBL204_Ki,178,test,12,79,True
CHEMBL204_Ki,180,calibration,3,79,True
CHEMBL204_Ki,181,calibration,15,78,True
CHEMBL204_Ki,182,calibration,4,63,True
CHEMBL204_Ki,128,calibration,6,58,True
CHEMBL204_Ki,189,test,4,45,True
CHEMBL2147_Ki,1,calibration,30,56,True
CHEMBL2147_Ki,2,calibration,12,44,True
CHEMBL2147_Ki,5,test,35,35,False
CHEMBL2147_Ki,6,test,12,58,True
CHEMBL2147_Ki,7,test,4,55,True
CHEMBL2147_Ki,8,test,29,49,True
CHEMBL2147_Ki,11,calibration,24,48,True
CHEMBL2147_Ki,13,test,21,25,True
CHEMBL2147_Ki,15,test,22,52,True
CHEMBL2147_Ki,16,calibration,28,38,True
CHEMBL2147_Ki,18,test,3,47,True
CHEMBL2147_Ki,14,calibration,12,57,True
CHEMBL2147_Ki,21,calibration,13,49,True
CHEMBL2147_Ki,24,calibration,31,61,True
CHEMBL2147_Ki,26,calibration,18,60,True
CHEMBL2147_Ki,28,calibration,25,65,True
CHEMBL2147_Ki,35,calibration,18,62,True
CHEMBL2147_Ki,34,calibration,17,65,True
CHEMBL2147_Ki,36,test,16,65,True
CHEMBL2147_Ki,39,test,13,61,True
CHEMBL2147_Ki,42,test,20,60,True
CHEMBL2147_Ki,43,calibration,20,58,True
CHEMBL2147_Ki,44,test,15,79,True
CHEMBL2147_Ki,47,calibration,4,67,True
CHEMBL2147_Ki,48,test,20,64,True
CHEMBL2147_Ki,51,test,13,67,True
CHEMBL2147_Ki,52,test,9,49,True
CHEMBL214_Ki,1,calibration,24,50,True
CHEMBL214_Ki,4,test,22,42,True
CHEMBL214_Ki,5,calibration,24,36,True
CHEMBL214_Ki,6,calibration,13,66,True
CHEMBL214_Ki,10,calibration,33,80,True
CHEMBL214_Ki,7,test,17,57,True
CHEMBL214_Ki,9,calibration,39,73,True
CHEMBL214_Ki,17,test,13,47,True
CHEMBL214_Ki,2,calibration,15,56,True
CHEMBL214_Ki,23,test,26,36,True
CHEMBL214_Ki,25,test,10,60,True
CHEMBL214_Ki,26,calibration,16,60,True
CHEMBL214_Ki,28,calibration,36,59,True
CHEMBL214_Ki,30,calibration,26,42,True
CHEMBL214_Ki,31,calibration,9,50,True
CHEMBL214_Ki,34,calibration,4,35,True
CHEMBL214_Ki,37,calibration,18,32,True
CHEMBL214_Ki,39,test,16,48,True
CHEMBL214_Ki,42,test,20,54,True
CHEMBL214_Ki,44,calibration,12,68,True
CHEMBL214_Ki,48,test,4,51,True
CHEMBL214_Ki,14,calibration,4,33,True
CHEMBL214_Ki,49,test,37,55,True
CHEMBL214_Ki,50,calibration,14,72,True
CHEMBL214_Ki,52,test,34,52,True
CHEMBL214_Ki,54,calibration,22,62,True
CHEMBL214_Ki,57,calibration,24,56,True
CHEMBL214_Ki,60,calibration,16,64,True
CHEMBL214_Ki,61,calibration,8,58,True
CHEMBL214_Ki,62,test,15,36,True
CHEMBL214_Ki,63,test,17,63,True
CHEMBL214_Ki,64,test,23,66,True
CHEMBL214_Ki,67,test,4,63,True
CHEMBL214_Ki,72,test,10,52,True
CHEMBL214_Ki,74,test,13,54,True
CHEMBL214_Ki,78,test,9,67,True
CHEMBL214_Ki,77,calibration,3,63,True
CHEMBL214_Ki,80,calibration,3,63,True
CHEMBL214_Ki,82,calibration,8,68,True
CHEMBL214_Ki,85,calibration,16,44,True
CHEMBL214_Ki,55,calibration,15,60,True
CHEMBL214_Ki,89,calibration,40,64,True
CHEMBL214_Ki,90,calibration,28,60,True
CHEMBL214_Ki,91,test,11,59,True
CHEMBL214_Ki,93,test,43,68,True
CHEMBL214_Ki,95,test,15,65,True
CHEMBL214_Ki,12,test,36,60,True
CHEMBL214_Ki,96,calibration,9,71,True
CHEMBL214_Ki,79,test,12,66,True
CHEMBL214_Ki,98,test,5,53,True
CHEMBL214_Ki,99,test,3,55,True
CHEMBL214_Ki,100,test,18,50,True
CHEMBL214_Ki,103,test,11,61,True
CHEMBL214_Ki,104,test,15,59,True
CHEMBL214_Ki,105,calibration,11,41,True
CHEMBL214_Ki,107,calibration,4,43,True
CHEMBL214_Ki,108,test,15,63,True
CHEMBL214_Ki,113,test,10,58,True
CHEMBL214_Ki,106,calibration,21,41,True
CHEMBL214_Ki,115,calibration,26,41,True
CHEMBL214_Ki,116,calibration,17,42,True
CHEMBL214_Ki,118,test,5,62,True
CHEMBL214_Ki,119,test,9,74,True
CHEMBL214_Ki,123,test,8,48,True
CHEMBL214_Ki,125,calibration,29,54,True
CHEMBL214_Ki,126,test,17,59,True
CHEMBL214_Ki,128,calibration,4,69,True
CHEMBL214_Ki,129,test,16,54,True
CHEMBL214_Ki,130,test,18,64,True
CHEMBL214_Ki,132,test,13,64,True
CHEMBL214_Ki,138,calibration,12,56,True
CHEMBL214_Ki,139,calibration,14,52,True
CHEMBL214_Ki,127,test,31,46,True
CHEMBL214_Ki,145,calibration,11,45,True
CHEMBL214_Ki,154,test,12,70,True
CHEMBL214_Ki,156,test,22,54,True
CHEMBL214_Ki,157,calibration,50,70,True
CHEMBL214_Ki,158,calibration,4,39,True
CHEMBL214_Ki,163,test,4,57,True
CHEMBL214_Ki,167,calibration,4,67,True
CHEMBL214_Ki,168,calibration,29,72,True
CHEMBL214_Ki,169,test,36,56,True
CHEMBL214_Ki,170,calibration,44,58,True
CHEMBL214_Ki,171,calibration,21,50,True
CHEMBL214_Ki,172,calibration,42,60,True
CHEMBL214_Ki,174,calibration,27,59,True
CHEMBL214_Ki,178,calibration,13,59,True
CHEMBL214_Ki,146,test,15,63,True
CHEMBL214_Ki,147,test,17,57,True
CHEMBL214_Ki,180,test,10,65,True
CHEMBL214_Ki,183,test,10,46,True
CHEMBL214_Ki,184,calibration,20,75,True
CHEMBL214_Ki,186,test,17,63,True
CHEMBL214_Ki,188,test,12,60,True
CHEMBL214_Ki,191,test,7,66,True
CHEMBL214_Ki,194,test,8,68,True
CHEMBL214_Ki,196,test,21,65,True
CHEMBL214_Ki,197,calibration,8,64,True
CHEMBL214_Ki,198,calibration,35,59,True
CHEMBL214_Ki,199,calibration,4,53,True
CHEMBL214_Ki,200,calibration,4,63,True
CHEMBL214_Ki,201,test,4,63,True
CHEMBL214_Ki,203,test,50,72,True
CHEMBL214_Ki,208,calibration,11,69,True
CHEMBL214_Ki,211,test,16,78,True
CHEMBL214_Ki,213,calibration,4,61,True
CHEMBL214_Ki,216,test,12,72,True
CHEMBL214_Ki,217,test,18,52,True
CHEMBL214_Ki,218,calibration,6,76,True
CHEMBL214_Ki,220,calibration,8,76,True
CHEMBL214_Ki,219,test,24,76,True
CHEMBL214_Ki,221,calibration,24,80,True
CHEMBL214_Ki,223,calibration,14,70,True
CHEMBL214_Ki,225,test,9,35,True
CHEMBL214_Ki,120,test,12,58,True
CHEMBL218_EC50,0,calibration,32,58,True
CHEMBL218_EC50,1,calibration,24,54,True
CHEMBL218_EC50,2,test,4,57,True
CHEMBL218_EC50,3,test,18,58,True
CHEMBL218_EC50,4,test,11,55,True
CHEMBL218_EC50,7,calibration,16,54,True
CHEMBL218_EC50,11,calibration,18,45,True
CHEMBL218_EC50,17,test,4,57,True
CHEMBL218_EC50,19,calibration,4,57,True
CHEMBL218_EC50,22,calibration,44,96,True
CHEMBL218_EC50,27,test,23,57,True
CHEMBL218_EC50,29,test,32,56,True
CHEMBL218_EC50,30,calibration,37,63,True
CHEMBL218_EC50,31,test,4,53,True
CHEMBL218_EC50,32,calibration,17,69,True
CHEMBL218_EC50,35,calibration,12,66,True
CHEMBL218_EC50,36,test,14,72,True
CHEMBL218_EC50,37,calibration,26,74,True
CHEMBL218_EC50,42,calibration,10,62,True
CHEMBL218_EC50,43,calibration,28,56,True
CHEMBL218_EC50,45,calibration,20,50,True
CHEMBL218_EC50,46,calibration,20,48,True
CHEMBL218_EC50,47,test,20,58,True
CHEMBL218_EC50,49,test,31,58,True
CHEMBL218_EC50,51,test,30,71,True
CHEMBL218_EC50,52,test,29,67,True
CHEMBL218_EC50,57,test,24,64,True
CHEMBL218_EC50,54,calibration,21,81,True
CHEMBL218_EC50,61,test,16,90,True
CHEMBL218_EC50,58,test,24,94,True
CHEMBL218_EC50,63,test,26,58,True
CHEMBL218_EC50,65,calibration,4,51,True
CHEMBL218_EC50,68,test,24,54,True
CHEMBL218_EC50,69,test,8,56,True
CHEMBL218_EC50,70,calibration,4,53,True
CHEMBL218_EC50,50,test,13,57,True
CHEMBL218_EC50,71,calibration,12,54,True
CHEMBL218_EC50,72,test,3,53,True
CHEMBL219_Ki,1,calibration,11,55,True
CHEMBL219_Ki,3,calibration,19,55,True
CHEMBL219_Ki,10,test,28,50,True
CHEMBL219_Ki,11,test,11,51,True
CHEMBL219_Ki,16,calibration,18,50,True
CHEMBL219_Ki,17,test,45,47,True
CHEMBL219_Ki,20,test,8,44,True
CHEMBL219_Ki,21,test,8,50,True
CHEMBL219_Ki,25,calibration,21,39,True
CHEMBL219_Ki,27,calibration,10,50,True
CHEMBL219_Ki,26,test,10,48,True
CHEMBL219_Ki,29,calibration,20,46,True
CHEMBL219_Ki,34,calibration,18,30,True
CHEMBL219_Ki,33,calibration,16,32,True
CHEMBL219_Ki,35,calibration,14,36,True
CHEMBL219_Ki,37,test,24,42,True
CHEMBL219_Ki,38,calibration,17,51,True
CHEMBL219_Ki,6,calibration,16,50,True
CHEMBL219_Ki,40,calibration,20,61,True
CHEMBL219_Ki,41,test,12,60,True
CHEMBL219_Ki,42,test,3,59,True
CHEMBL219_Ki,45,test,12,56,True
CHEMBL219_Ki,48,test,10,44,True
CHEMBL219_Ki,49,test,13,49,True
CHEMBL219_Ki,52,test,24,46,True
CHEMBL219_Ki,47,test,14,46,True
CHEMBL219_Ki,53,test,14,52,True
CHEMBL219_Ki,58,test,11,63,True
CHEMBL219_Ki,56,test,19,65,True
CHEMBL219_Ki,62,calibration,43,49,True
CHEMBL219_Ki,63,calibration,28,60,True
CHEMBL219_Ki,64,test,24,66,True
CHEMBL219_Ki,68,calibration,12,54,True
CHEMBL219_Ki,70,calibration,18,56,True
CHEMBL219_Ki,71,test,9,55,True
CHEMBL219_Ki,59,calibration,21,53,True
CHEMBL219_Ki,74,calibration,20,63,True
CHEMBL219_Ki,77,test,14,40,True
CHEMBL219_Ki,84,calibration,12,56,True
CHEMBL219_Ki,85,test,11,49,True
CHEMBL219_Ki,86,test,13,55,True
CHEMBL219_Ki,87,test,15,45,True
CHEMBL219_Ki,91,calibration,4,53,True
CHEMBL219_Ki,76,test,22,42,True
CHEMBL219_Ki,93,calibration,24,48,True
CHEMBL219_Ki,94,test,17,55,True
CHEMBL219_Ki,95,test,16,52,True
CHEMBL219_Ki,96,test,17,69,True
CHEMBL219_Ki,98,calibration,24,59,True
CHEMBL219_Ki,99,test,34,66,True
CHEMBL219_Ki,106,calibration,13,67,True
CHEMBL219_Ki,107,calibration,17,59,True
CHEMBL219_Ki,108,calibration,28,60,True
CHEMBL219_Ki,109,test,7,61,True
CHEMBL219_Ki,112,calibration,12,56,True
CHEMBL219_Ki,114,calibration,11,65,True
CHEMBL219_Ki,115,test,21,49,True
CHEMBL219_Ki,111,calibration,18,44,True
CHEMBL219_Ki,116,calibration,18,70,True
CHEMBL219_Ki,117,calibration,10,60,True
CHEMBL219_Ki,119,calibration,13,67,True
CHEMBL219_Ki,120,test,18,36,True
CHEMBL219_Ki,121,test,4,40,True
CHEMBL219_Ki,122,calibration,11,39,True
CHEMBL219_Ki,126,test,5,37,True
CHEMBL219_Ki,127,test,11,73,True
CHEMBL219_Ki,128,calibration,8,54,True
CHEMBL228_Ki,2,calibration,17,65,True
CHEMBL228_Ki,3,calibration,11,49,True
CHEMBL228_Ki,4,test,16,62,True
CHEMBL228_Ki,5,test,12,44,True
CHEMBL228_Ki,9,test,15,69,True
CHEMBL228_Ki,12,test,10,62,True
CHEMBL228_Ki,13,calibration,8,44,True
CHEMBL228_Ki,15,test,12,72,True
CHEMBL228_Ki,16,calibration,4,41,True
CHEMBL228_Ki,17,test,6,36,True
CHEMBL228_Ki,21,calibration,13,43,True
CHEMBL228_Ki,23,test,9,37,True
CHEMBL228_Ki,24,test,13,57,True
CHEMBL228_Ki,6,calibration,13,40,True
CHEMBL228_Ki,35,calibration,10,58,True
CHEMBL228_Ki,36,calibration,14,64,True
CHEMBL228_Ki,38,test,22,57,True
CHEMBL228_Ki,29,calibration,6,54,True
CHEMBL228_Ki,30,calibration,5,54,True
CHEMBL228_Ki,34,test,22,56,True
CHEMBL228_Ki,0,test,30,40,True
CHEMBL228_Ki,46,test,18,58,True
CHEMBL228_Ki,47,calibration,8,62,True
CHEMBL228_Ki,48,test,3,27,True
CHEMBL228_Ki,49,test,4,67,True
CHEMBL228_Ki,52,test,28,42,True
CHEMBL228_Ki,45,calibration,19,63,True
CHEMBL228_Ki,53,test,16,52,True
CHEMBL228_Ki,56,calibration,15,43,True
CHEMBL228_Ki,55,test,27,45,True
CHEMBL228_Ki,57,test,22,28,True
CHEMBL228_Ki,58,calibration,16,44,True
CHEMBL228_Ki,60,test,4,48,True
CHEMBL228_Ki,61,test,13,45,True
CHEMBL228_Ki,64,test,10,42,True
CHEMBL228_Ki,65,test,11,41,True
CHEMBL228_Ki,66,test,11,41,True
CHEMBL228_Ki,68,calibration,11,63,True
CHEMBL228_Ki,69,calibration,22,66,True
CHEMBL228_Ki,73,calibration,19,64,True
CHEMBL228_Ki,78,calibration,14,36,True
CHEMBL228_Ki,79,test,8,40,True
CHEMBL228_Ki,85,calibration,10,36,True
CHEMBL228_Ki,86,calibration,14,46,True
CHEMBL228_Ki,88,test,13,64,True
CHEMBL228_Ki,89,test,15,65,True
CHEMBL228_Ki,90,calibration,16,44,True
CHEMBL228_Ki,91,calibration,24,44,True
CHEMBL228_Ki,92,calibration,20,72,True
CHEMBL228_Ki,93,test,4,51,True
CHEMBL228_Ki,94,calibration,4,51,True
CHEMBL228_Ki,99,calibration,11,53,True
CHEMBL228_Ki,100,calibration,16,36,True
CHEMBL228_Ki,103,test,7,33,True
CHEMBL228_Ki,104,calibration,11,39,True
CHEMBL228_Ki,106,test,15,57,True
CHEMBL228_Ki,115,calibration,12,54,True
CHEMBL228_Ki,118,test,4,63,True
CHEMBL228_Ki,111,calibration,10,66,True
CHEMBL228_Ki,119,calibration,18,74,True
CHEMBL228_Ki,120,test,36,74,True
CHEMBL231_Ki,2,calibration,8,50,True
CHEMBL231_Ki,1,test,14,59,True
CHEMBL231_Ki,3,calibration,19,63,True
CHEMBL231_Ki,4,calibration,45,49,True
CHEMBL231_Ki,5,test,13,49,True
CHEMBL231_Ki,7,test,12,56,True
CHEMBL231_Ki,8,test,28,56,True
CHEMBL231_Ki,6,test,12,55,True
CHEMBL231_Ki,10,test,12,62,True
CHEMBL231_Ki,14,calibration,21,81,True
CHEMBL231_Ki,16,test,4,55,True
CHEMBL231_Ki,17,test,15,71,True
CHEMBL231_Ki,21,test,20,64,True
CHEMBL231_Ki,23,calibration,3,67,True
CHEMBL231_Ki,24,calibration,12,36,True
CHEMBL231_Ki,26,test,12,36,True
CHEMBL231_Ki,27,calibration,36,42,True
CHEMBL231_Ki,29,calibration,21,45,True
CHEMBL231_Ki,34,test,5,56,True
CHEMBL231_Ki,35,calibration,15,52,True
CHEMBL231_Ki,37,calibration,16,74,True
CHEMBL231_Ki,44,test,13,65,True
CHEMBL231_Ki,43,test,14,69,True
CHEMBL231_Ki,46,test,10,80,True
CHEMBL231_Ki,51,test,14,78,True
CHEMBL231_Ki,53,calibration,8,60,True
CHEMBL231_Ki,54,calibration,11,65,True
CHEMBL231_Ki,15,calibration,12,54,True
CHEMBL233_Ki,1,test,13,73,True
CHEMBL233_Ki,5,calibration,19,127,True
CHEMBL233_Ki,13,test,26,54,True
CHEMBL233_Ki,15,calibration,5,40,True
CHEMBL233_Ki,16,calibration,14,47,True
CHEMBL233_Ki,18,test,4,73,True
CHEMBL233_Ki,19,calibration,26,62,True
CHEMBL233_Ki,22,calibration,11,69,True
CHEMBL233_Ki,24,test,15,66,True
CHEMBL233_Ki,26,calibration,19,47,True
CHEMBL233_Ki,28,calibration,14,52,True
CHEMBL233_Ki,31,test,8,52,True
CHEMBL233_Ki,32,calibration,12,60,True
CHEMBL233_Ki,33,test,12,56,True
CHEMBL233_Ki,35,calibration,9,54,True
CHEMBL233_Ki,37,calibration,16,64,True
CHEMBL233_Ki,41,test,11,55,True
CHEMBL233_Ki,44,test,10,74,True
CHEMBL233_Ki,43,calibration,3,71,True
CHEMBL233_Ki,45,test,3,65,True
CHEMBL233_Ki,47,test,6,36,True
CHEMBL233_Ki,48,test,21,69,True
CHEMBL233_Ki,50,test,15,50,True
CHEMBL233_Ki,52,test,15,49,True
CHEMBL233_Ki,53,test,20,72,True
CHEMBL233_Ki,54,test,13,59,True
CHEMBL233_Ki,55,calibration,10,56,True
CHEMBL233_Ki,57,test,8,56,True
CHEMBL233_Ki,59,calibration,14,62,True
CHEMBL233_Ki,63,calibration,11,79,True
CHEMBL233_Ki,65,test,8,47,True
CHEMBL233_Ki,66,test,10,56,True
CHEMBL233_Ki,67,test,9,53,True
CHEMBL233_Ki,69,calibration,10,54,True
CHEMBL233_Ki,75,calibration,4,61,True
CHEMBL233_Ki,34,calibration,14,56,True
CHEMBL233_Ki,77,calibration,4,54,True
CHEMBL233_Ki,74,test,15,49,True
CHEMBL233_Ki,78,test,20,81,True
CHEMBL233_Ki,80,calibration,4,51,True
CHEMBL233_Ki,81,calibration,5,67,True
CHEMBL233_Ki,83,calibration,22,70,True
CHEMBL233_Ki,84,test,7,71,True
CHEMBL233_Ki,86,test,3,45,True
CHEMBL233_Ki,36,test,13,71,True
CHEMBL233_Ki,91,calibration,13,116,True
CHEMBL233_Ki,94,test,13,46,True
CHEMBL233_Ki,93,calibration,16,46,True
CHEMBL233_Ki,98,test,14,65,True
CHEMBL233_Ki,100,test,8,67,True
CHEMBL233_Ki,99,test,25,69,True
CHEMBL233_Ki,103,calibration,4,64,True
CHEMBL233_Ki,107,test,8,60,True
CHEMBL233_Ki,109,calibration,14,54,True
CHEMBL233_Ki,110,calibration,19,53,True
CHEMBL233_Ki,112,test,13,75,True
CHEMBL233_Ki,113,test,21,63,True
CHEMBL233_Ki,115,calibration,23,65,True
CHEMBL233_Ki,117,test,8,46,True
CHEMBL233_Ki,118,calibration,10,40,True
CHEMBL233_Ki,119,calibration,13,59,True
CHEMBL233_Ki,120,calibration,17,66,True
CHEMBL233_Ki,122,test,8,51,True
CHEMBL233_Ki,124,test,4,52,True
CHEMBL233_Ki,126,calibration,19,65,True
CHEMBL233_Ki,129,calibration,14,56,True
CHEMBL233_Ki,132,test,4,73,True
CHEMBL233_Ki,134,test,19,95,True
CHEMBL233_Ki,140,test,15,68,True
CHEMBL233_Ki,141,test,25,69,True
CHEMBL233_Ki,12,calibration,14,52,True
CHEMBL233_Ki,58,calibration,7,57,True
CHEMBL233_Ki,145,calibration,4,69,True
CHEMBL233_Ki,142,test,26,72,True
CHEMBL233_Ki,62,calibration,18,66,True
CHEMBL233_Ki,153,calibration,5,69,True
CHEMBL233_Ki,152,test,18,62,True
CHEMBL233_Ki,157,calibration,24,76,True
CHEMBL233_Ki,159,test,6,58,True
CHEMBL233_Ki,163,test,21,77,True
CHEMBL233_Ki,164,calibration,11,81,True
CHEMBL233_Ki,167,test,5,77,True
CHEMBL233_Ki,172,calibration,8,64,True
CHEMBL233_Ki,173,calibration,22,52,True
CHEMBL233_Ki,176,calibration,11,69,True
CHEMBL233_Ki,177,test,7,80,True
CHEMBL233_Ki,179,calibration,17,55,True
CHEMBL233_Ki,180,test,5,55,True
CHEMBL233_Ki,182,test,11,70,True
CHEMBL233_Ki,184,calibration,4,45,True
CHEMBL233_Ki,185,calibration,13,91,True
CHEMBL234_Ki,0,calibration,22,66,True
CHEMBL234_Ki,8,test,12,46,True
CHEMBL234_Ki,9,test,11,51,True
CHEMBL234_Ki,10,calibration,8,33,True
CHEMBL234_Ki,11,test,4,43,True
