dataset,component_id,rationale,left_atoms,right_atoms,positive_atoms,prevalence,valid_normalized_ap,failure
CHEMBL239_EC50,14,boundary_extended,33,32,11,0.16923076923076924,True,
CHEMBL239_EC50,14,strict_unmatched,33,32,1,0.015384615384615385,True,
CHEMBL239_EC50,16,boundary_extended,33,34,25,0.373134328358209,True,
CHEMBL239_EC50,16,strict_unmatched,33,34,3,0.04477611940298507,True,
CHEMBL239_EC50,18,boundary_extended,37,36,16,0.2191780821917808,True,
CHEMBL239_EC50,18,strict_unmatched,37,36,3,0.0410958904109589,True,
CHEMBL239_EC50,22,boundary_extended,31,29,10,0.16666666666666666,True,
CHEMBL239_EC50,22,strict_unmatched,31,29,4,0.06666666666666667,True,
CHEMBL239_EC50,24,boundary_extended,29,28,27,0.47368421052631576,True,
CHEMBL239_EC50,24,strict_unmatched,29,28,5,0.08771929824561403,True,
CHEMBL239_EC50,25,boundary_extended,33,35,5,0.07352941176470588,True,
CHEMBL239_EC50,25,strict_unmatched,33,35,2,0.029411764705882353,True,
CHEMBL239_EC50,26,boundary_extended,33,32,35,0.5384615384615384,True,
CHEMBL239_EC50,26,strict_unmatched,33,32,3,0.046153846153846156,True,
CHEMBL239_EC50,29,boundary_extended,19,21,12,0.3,True,
CHEMBL239_EC50,29,strict_unmatched,19,21,2,0.05,True,
CHEMBL239_EC50,30,boundary_extended,22,22,14,0.3181818181818182,True,
CHEMBL239_EC50,30,strict_unmatched,22,22,0,0.0,False,no_positive_atoms
CHEMBL239_EC50,35,boundary_extended,38,34,20,0.2777777777777778,True,
CHEMBL239_EC50,35,strict_unmatched,38,34,4,0.05555555555555555,True,
CHEMBL239_EC50,37,boundary_extended,36,36,10,0.1388888888888889,True,
CHEMBL239_EC50,37,strict_unmatched,36,36,0,0.0,False,no_positive_atoms
CHEMBL239_EC50,38,boundary_extended,39,39,10,0.1282051282051282,True,
CHEMBL239_EC50,38,strict_unmatched,39,39,0,0.0,False,no_positive_atoms
CHEMBL239_EC50,40,boundary_extended,34,32,5,0.07575757575757576,True,
CHEMBL239_EC50,40,strict_unmatched,34,32,2,0.030303030303030304,True,
CHEMBL239_EC50,48,boundary_extended,37,38,21,0.28,True,
CHEMBL239_EC50,48,strict_unmatched,37,38,15,0.2,True,
CHEMBL239_EC50,52,boundary_extended,33,32,19,0.2923076923076923,True,
CHEMBL239_EC50,52,strict_unmatched,33,32,15,0.23076923076923078,True,
CHEMBL239_EC50,57,boundary_extended,32,33,18,0.27692307692307694,True,
CHEMBL239_EC50,57,strict_unmatched,32,33,1,0.015384615384615385,True,
CHEMBL239_EC50,66,boundary_extended,28,27,20,0.36363636363636365,True,
CHEMBL239_EC50,66,strict_unmatched,28,27,5,0.09090909090909091,True,
CHEMBL239_EC50,68,boundary_extended,40,38,9,0.11538461538461539,True,
CHEMBL239_EC50,68,strict_unmatched,40,38,4,0.05128205128205128,True,
CHEMBL239_EC50,75,boundary_extended,37,37,14,0.1891891891891892,True,
CHEMBL239_EC50,75,strict_unmatched,37,37,0,0.0,False,no_positive_atoms
CHEMBL239_EC50,85,boundary_extended,32,31,9,0.14285714285714285,True,
CHEMBL239_EC50,85,strict_unmatched,32,31,3,0.047619047619047616,True,
CHEMBL239_EC50,91,boundary_extended,26,26,12,0.23076923076923078,True,
CHEMBL239_EC50,91,strict_unmatched,26,26,2,0.038461538461538464,True,
CHEMBL239_EC50,102,boundary_extended,38,38,13,0.17105263157894737,True,
CHEMBL239_EC50,102,strict_unmatched,38,38,4,0.05263157894736842,True,
CHEMBL239_EC50,107,boundary_extended,24,24,16,0.3333333333333333,True,
CHEMBL239_EC50,107,strict_unmatched,24,24,4,0.08333333333333333,True,
CHEMBL239_EC50,114,boundary_extended,31,30,19,0.3114754098360656,True,
CHEMBL239_EC50,114,strict_unmatched,31,30,1,0.01639344262295082,True,
CHEMBL239_EC50,115,boundary_extended,26,26,7,0.1346153846153846,True,
CHEMBL239_EC50,115,strict_unmatched,26,26,2,0.038461538461538464,True,
CHEMBL239_EC50,118,boundary_extended,38,39,13,0.16883116883116883,True,
CHEMBL239_EC50,118,strict_unmatched,38,39,1,0.012987012987012988,True,
CHEMBL239_EC50,74,boundary_extended,40,39,25,0.31645569620253167,True,
CHEMBL239_EC50,74,strict_unmatched,40,39,7,0.08860759493670886,True,
CHEMBL239_EC50,124,boundary_extended,29,30,27,0.4576271186440678,True,
CHEMBL239_EC50,124,strict_unmatched,29,30,9,0.15254237288135594,True,
CHEMBL239_EC50,126,boundary_extended,28,27,13,0.23636363636363636,True,
CHEMBL239_EC50,126,strict_unmatched,28,27,1,0.01818181818181818,True,
CHEMBL239_EC50,127,boundary_extended,27,28,4,0.07272727272727272,True,
CHEMBL239_EC50,127,strict_unmatched,27,28,1,0.01818181818181818,True,
CHEMBL244_Ki,2,boundary_extended,29,29,30,0.5172413793103449,True,
CHEMBL244_Ki,2,strict_unmatched,29,29,6,0.10344827586206896,True,
CHEMBL244_Ki,3,boundary_extended,39,43,15,0.18292682926829268,True,
CHEMBL244_Ki,3,strict_unmatched,39,43,4,0.04878048780487805,True,
CHEMBL244_Ki,25,boundary_extended,30,30,22,0.36666666666666664,True,
CHEMBL244_Ki,25,strict_unmatched,30,30,6,0.1,True,
CHEMBL244_Ki,32,boundary_extended,23,22,20,0.4444444444444444,True,
CHEMBL244_Ki,32,strict_unmatched,23,22,5,0.1111111111111111,True,
CHEMBL244_Ki,35,boundary_extended,38,39,13,0.16883116883116883,True,
CHEMBL244_Ki,35,strict_unmatched,38,39,9,0.11688311688311688,True,
CHEMBL244_Ki,36,boundary_extended,34,33,12,0.1791044776119403,True,
CHEMBL244_Ki,36,strict_unmatched,34,33,5,0.07462686567164178,True,
CHEMBL244_Ki,37,boundary_extended,40,40,20,0.25,True,
CHEMBL244_Ki,37,strict_unmatched,40,40,0,0.0,False,no_positive_atoms
CHEMBL244_Ki,38,boundary_extended,34,36,5,0.07142857142857142,True,
CHEMBL244_Ki,38,strict_unmatched,34,36,2,0.02857142857142857,True,
CHEMBL244_Ki,50,boundary_extended,33,31,29,0.453125,True,
CHEMBL244_Ki,50,strict_unmatched,33,31,8,0.125,True,
CHEMBL244_Ki,55,boundary_extended,32,31,4,0.06349206349206349,True,
CHEMBL244_Ki,55,strict_unmatched,32,31,1,0.015873015873015872,True,
CHEMBL244_Ki,67,boundary_extended,28,28,8,0.14285714285714285,True,
CHEMBL244_Ki,67,strict_unmatched,28,28,0,0.0,False,no_positive_atoms
CHEMBL244_Ki,68,boundary_extended,34,34,18,0.2647058823529412,True,
CHEMBL244_Ki,68,strict_unmatched,34,34,6,0.08823529411764706,True,
CHEMBL244_Ki,73,boundary_extended,24,24,10,0.20833333333333334,True,
CHEMBL244_Ki,73,strict_unmatched,24,24,0,0.0,False,no_positive_atoms
CHEMBL244_Ki,77,boundary_extended,36,39,13,0.17333333333333334,True,
CHEMBL244_Ki,77,strict_unmatched,36,39,5,0.06666666666666667,True,
CHEMBL244_Ki,74,boundary_extended,33,33,8,0.12121212121212122,True,
CHEMBL244_Ki,74,strict_unmatched,33,33,2,0.030303030303030304,True,
CHEMBL244_Ki,87,boundary_extended,29,29,22,0.3793103448275862,True,
CHEMBL244_Ki,87,strict_unmatched,29,29,12,0.20689655172413793,True,
CHEMBL244_Ki,90,boundary_extended,28,30,12,0.20689655172413793,True,
CHEMBL244_Ki,90,strict_unmatched,28,30,2,0.034482758620689655,True,
CHEMBL244_Ki,92,boundary_extended,35,36,4,0.056338028169014086,True,
CHEMBL244_Ki,92,strict_unmatched,35,36,1,0.014084507042253521,True,
CHEMBL244_Ki,93,boundary_extended,33,32,7,0.1076923076923077,True,
CHEMBL244_Ki,93,strict_unmatched,33,32,3,0.046153846153846156,True,
CHEMBL244_Ki,95,boundary_extended,38,39,11,0.14285714285714285,True,
CHEMBL244_Ki,95,strict_unmatched,38,39,1,0.012987012987012988,True,
CHEMBL244_Ki,100,boundary_extended,35,35,28,0.4,True,
CHEMBL244_Ki,100,strict_unmatched,35,35,6,0.08571428571428572,True,
CHEMBL244_Ki,107,boundary_extended,37,37,20,0.2702702702702703,True,
CHEMBL244_Ki,107,strict_unmatched,37,37,16,0.21621621621621623,True,
CHEMBL244_Ki,108,boundary_extended,39,39,15,0.19230769230769232,True,
CHEMBL244_Ki,108,strict_unmatched,39,39,2,0.02564102564102564,True,
CHEMBL244_Ki,114,boundary_extended,24,23,4,0.0851063829787234,True,
CHEMBL244_Ki,114,strict_unmatched,24,23,1,0.02127659574468085,True,
CHEMBL244_Ki,116,boundary_extended,30,32,20,0.3225806451612903,True,
CHEMBL244_Ki,116,strict_unmatched,30,32,12,0.1935483870967742,True,
CHEMBL244_Ki,121,boundary_extended,42,40,27,0.32926829268292684,True,
CHEMBL244_Ki,121,strict_unmatched,42,40,4,0.04878048780487805,True,
CHEMBL244_Ki,6,boundary_extended,36,39,18,0.24,True,
CHEMBL244_Ki,6,strict_unmatched,36,39,11,0.14666666666666667,True,
CHEMBL244_Ki,126,boundary_extended,28,28,8,0.14285714285714285,True,
CHEMBL244_Ki,126,strict_unmatched,28,28,0,0.0,False,no_positive_atoms
CHEMBL244_Ki,130,boundary_extended,38,36,23,0.3108108108108108,True,
CHEMBL244_Ki,130,strict_unmatched,38,36,6,0.08108108108108109,True,
CHEMBL244_Ki,118,boundary_extended,40,40,8,0.1,True,
CHEMBL244_Ki,118,strict_unmatched,40,40,2,0.025,True,
CHEMBL244_Ki,148,boundary_extended,34,34,10,0.14705882352941177,True,
CHEMBL244_Ki,148,strict_unmatched,34,34,6,0.08823529411764706,True,
CHEMBL244_Ki,153,boundary_extended,36,36,14,0.19444444444444445,True,
CHEMBL244_Ki,153,strict_unmatched,36,36,6,0.08333333333333333,True,
CHEMBL244_Ki,149,boundary_extended,34,35,21,0.30434782608695654,True,
CHEMBL244_Ki,149,strict_unmatched,34,35,13,0.18840579710144928,True,
CHEMBL244_Ki,155,boundary_extended,36,35,15,0.2112676056338028,True,
CHEMBL244_Ki,155,strict_unmatched,36,35,5,0.07042253521126761,True,
CHEMBL244_Ki,157,boundary_extended,35,35,16,0.22857142857142856,True,
CHEMBL244_Ki,157,strict_unmatched,35,35,8,0.11428571428571428,True,
CHEMBL244_Ki,159,boundary_extended,37,37,20,0.2702702702702703,True,
CHEMBL244_Ki,159,strict_unmatched,37,37,14,0.1891891891891892,True,
CHEMBL244_Ki,162,boundary_extended,30,29,3,0.05084745762711865,True,
CHEMBL244_Ki,162,strict_unmatched,30,29,1,0.01694915254237288,True,
CHEMBL244_Ki,163,boundary_extended,25,25,8,0.16,True,
CHEMBL244_Ki,163,strict_unmatched,25,25,2,0.04,True,
CHEMBL244_Ki,164,boundary_extended,39,42,19,0.2345679012345679,True,
CHEMBL244_Ki,164,strict_unmatched,39,42,15,0.18518518518518517,True,
CHEMBL244_Ki,168,boundary_extended,39,36,21,0.28,True,
CHEMBL244_Ki,168,strict_unmatched,39,36,7,0.09333333333333334,True,
CHEMBL244_Ki,141,boundary_extended,38,38,14,0.18421052631578946,True,
CHEMBL244_Ki,141,strict_unmatched,38,38,2,0.02631578947368421,True,
CHEMBL244_Ki,169,boundary_extended,34,33,17,0.2537313432835821,True,
CHEMBL244_Ki,169,strict_unmatched,34,33,9,0.13432835820895522,True,
CHEMBL244_Ki,171,boundary_extended,34,34,10,0.14705882352941177,True,
CHEMBL244_Ki,171,strict_unmatched,34,34,0,0.0,False,no_positive_atoms
CHEMBL244_Ki,172,boundary_extended,30,29,4,0.06779661016949153,True,
CHEMBL244_Ki,172,strict_unmatched,30,29,1,0.01694915254237288,True,
CHEMBL244_Ki,173,boundary_extended,41,43,4,0.047619047619047616,True,
CHEMBL244_Ki,173,strict_unmatched,41,43,2,0.023809523809523808,True,
CHEMBL244_Ki,175,boundary_extended,29,31,14,0.23333333333333334,True,
CHEMBL244_Ki,175,strict_unmatched,29,31,2,0.03333333333333333,True,
CHEMBL244_Ki,182,boundary_extended,31,31,20,0.3225806451612903,True,
CHEMBL244_Ki,182,strict_unmatched,31,31,6,0.0967741935483871,True,
CHEMBL244_Ki,183,boundary_extended,28,28,12,0.21428571428571427,True,
CHEMBL244_Ki,183,strict_unmatched,28,28,0,0.0,False,no_positive_atoms
CHEMBL244_Ki,189,boundary_extended,49,50,17,0.1717171717171717,True,
CHEMBL244_Ki,189,strict_unmatched,49,50,9,0.09090909090909091,True,
CHEMBL244_Ki,194,boundary_extended,33,34,4,0.05970149253731343,True,
CHEMBL244_Ki,194,strict_unmatched,33,34,1,0.014925373134328358,True,
CHEMBL244_Ki,200,boundary_extended,45,50,21,0.22105263157894736,True,
CHEMBL244_Ki,200,strict_unmatched,45,50,17,0.17894736842105263,True,
CHEMBL244_Ki,202,boundary_extended,31,31,14,0.22580645161290322,True,
CHEMBL244_Ki,202,strict_unmatched,31,31,6,0.0967741935483871,True,
CHEMBL2835_Ki,2,boundary_extended,20,22,4,0.09523809523809523,True,
CHEMBL2835_Ki,2,strict_unmatched,20,22,2,0.047619047619047616,True,
CHEMBL2835_Ki,7,boundary_extended,26,25,23,0.45098039215686275,True,
CHEMBL2835_Ki,7,strict_unmatched,26,25,3,0.058823529411764705,True,
CHEMBL2835_Ki,8,boundary_extended,29,25,12,0.2222222222222222,True,
CHEMBL2835_Ki,8,strict_unmatched,29,25,4,0.07407407407407407,True,
CHEMBL2835_Ki,13,boundary_extended,25,24,17,0.3469387755102041,True,
CHEMBL2835_Ki,13,strict_unmatched,25,24,11,0.22448979591836735,True,
CHEMBL2835_Ki,18,boundary_extended,37,38,22,0.29333333333333333,True,
CHEMBL2835_Ki,18,strict_unmatched,37,38,3,0.04,True,
CHEMBL287_Ki,9,boundary_extended,27,26,15,0.2830188679245283,True,
CHEMBL287_Ki,9,strict_unmatched,27,26,7,0.1320754716981132,True,
CHEMBL287_Ki,12,boundary_extended,21,22,23,0.5348837209302325,True,
CHEMBL287_Ki,12,strict_unmatched,21,22,13,0.3023255813953488,True,
CHEMBL287_Ki,18,boundary_extended,19,18,13,0.35135135135135137,True,
CHEMBL287_Ki,18,strict_unmatched,19,18,3,0.08108108108108109,True,
CHEMBL287_Ki,19,boundary_extended,20,19,4,0.10256410256410256,True,
CHEMBL287_Ki,19,strict_unmatched,20,19,1,0.02564102564102564,True,
CHEMBL287_Ki,22,boundary_extended,20,13,10,0.30303030303030304,True,
CHEMBL287_Ki,22,strict_unmatched,20,13,7,0.21212121212121213,True,
CHEMBL287_Ki,27,boundary_extended,23,23,8,0.17391304347826086,True,
CHEMBL287_Ki,27,strict_unmatched,23,23,2,0.043478260869565216,True,
CHEMBL287_Ki,28,boundary_extended,22,26,14,0.2916666666666667,True,
CHEMBL287_Ki,28,strict_unmatched,22,26,10,0.20833333333333334,True,
CHEMBL287_Ki,32,boundary_extended,28,29,23,0.40350877192982454,True,
CHEMBL287_Ki,32,strict_unmatched,28,29,3,0.05263157894736842,True,
CHEMBL287_Ki,35,boundary_extended,18,19,19,0.5135135135135135,True,
CHEMBL287_Ki,35,strict_unmatched,18,19,3,0.08108108108108109,True,
CHEMBL287_Ki,40,boundary_extended,18,17,4,0.11428571428571428,True,
CHEMBL287_Ki,40,strict_unmatched,18,17,1,0.02857142857142857,True,
CHEMBL287_Ki,43,boundary_extended,21,21,10,0.23809523809523808,True,
CHEMBL287_Ki,43,strict_unmatched,21,21,6,0.14285714285714285,True,
CHEMBL287_Ki,26,boundary_extended,17,18,17,0.4857142857142857,True,
CHEMBL287_Ki,26,strict_unmatched,17,18,3,0.08571428571428572,True,
CHEMBL287_Ki,51,boundary_extended,20,16,18,0.5,True,
CHEMBL287_Ki,51,strict_unmatched,20,16,14,0.3888888888888889,True,
CHEMBL287_Ki,2,boundary_extended,22,23,19,0.4222222222222222,True,
CHEMBL287_Ki,2,strict_unmatched,22,23,1,0.022222222222222223,True,
CHEMBL287_Ki,66,boundary_extended,14,14,16,0.5714285714285714,True,
CHEMBL287_Ki,66,strict_unmatched,14,14,12,0.42857142857142855,True,
CHEMBL287_Ki,68,boundary_extended,25,24,29,0.5918367346938775,True,
CHEMBL287_Ki,68,strict_unmatched,25,24,3,0.061224489795918366,True,
CHEMBL287_Ki,74,boundary_extended,24,22,16,0.34782608695652173,True,
CHEMBL287_Ki,74,strict_unmatched,24,22,12,0.2608695652173913,True,
CHEMBL287_Ki,82,boundary_extended,33,29,14,0.22580645161290322,True,
CHEMBL287_Ki,82,strict_unmatched,33,29,4,0.06451612903225806,True,
CHEMBL287_Ki,84,boundary_extended,23,23,8,0.17391304347826086,True,
CHEMBL287_Ki,84,strict_unmatched,23,23,2,0.043478260869565216,True,
CHEMBL287_Ki,83,boundary_extended,23,22,21,0.4666666666666667,True,
CHEMBL287_Ki,83,strict_unmatched,23,22,5,0.1111111111111111,True,
CHEMBL287_Ki,85,boundary_extended,26,33,20,0.3389830508474576,True,
CHEMBL287_Ki,85,strict_unmatched,26,33,7,0.11864406779661017,True,
CHEMBL287_Ki,89,boundary_extended,25,23,22,0.4583333333333333,True,
CHEMBL287_Ki,89,strict_unmatched,25,23,4,0.08333333333333333,True,
CHEMBL287_Ki,93,boundary_extended,25,25,10,0.2,True,
CHEMBL287_Ki,93,strict_unmatched,25,25,2,0.04,True,
CHEMBL287_Ki,96,boundary_extended,31,31,28,0.45161290322580644,True,
CHEMBL287_Ki,96,strict_unmatched,31,31,10,0.16129032258064516,True,
CHEMBL287_Ki,97,boundary_extended,26,27,15,0.2830188679245283,True,
CHEMBL287_Ki,97,strict_unmatched,26,27,11,0.20754716981132076,True,
CHEMBL287_Ki,101,boundary_extended,33,33,21,0.3181818181818182,True,
CHEMBL287_Ki,101,strict_unmatched,33,33,4,0.06060606060606061,True,
CHEMBL4616_EC50,2,boundary_extended,33,36,11,0.15942028985507245,True,
CHEMBL4616_EC50,2,strict_unmatched,33,36,5,0.07246376811594203,True,
CHEMBL4616_EC50,13,boundary_extended,35,37,24,0.3333333333333333,True,
CHEMBL4616_EC50,13,strict_unmatched,35,37,4,0.05555555555555555,True,
CHEMBL4616_EC50,7,boundary_extended,42,42,10,0.11904761904761904,True,
CHEMBL4616_EC50,7,strict_unmatched,42,42,2,0.023809523809523808,True,
CHEMBL4616_EC50,14,boundary_extended,33,34,15,0.22388059701492538,True,
CHEMBL4616_EC50,14,strict_unmatched,33,34,7,0.1044776119402985,True,
CHEMBL4616_EC50,23,boundary_extended,26,26,20,0.38461538461538464,True,
CHEMBL4616_EC50,23,strict_unmatched,26,26,4,0.07692307692307693,True,
CHEMBL4616_EC50,31,boundary_extended,63,63,10,0.07936507936507936,True,
CHEMBL4616_EC50,31,strict_unmatched,63,63,2,0.015873015873015872,True,
CHEMBL4616_EC50,34,boundary_extended,33,33,10,0.15151515151515152,True,
CHEMBL4616_EC50,34,strict_unmatched,33,33,0,0.0,False,no_positive_atoms
CHEMBL4616_EC50,35,boundary_extended,33,32,23,0.35384615384615387,True,
CHEMBL4616_EC50,35,strict_unmatched,33,32,1,0.015384615384615385,True,
CHEMBL4616_EC50,37,boundary_extended,36,35,23,0.323943661971831,True,
CHEMBL4616_EC50,37,strict_unmatched,36,35,11,0.15492957746478872,True,
